PROJECT NUMBER,BUILDING ID,PROJECT DESCRIPTION,SCHOOL NAME,SCHOOL ADDRESS,SED APPROVED ESTIMATE,DATE APPLICATION SUBMITTED TO SED,BOROUGH,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,BIN,BBL,NTA
8UC,M814,"A NEW IS/HS HAVING APPROXIMATE GROSS AREA OF 17,738 SF AND AN APPROXIMATE UNADJUSTED CAPACITY OF 687",COMMUNITY HEALTH ACADEMY,1970 AMSTERDAM,32780297,,1,,,,,,,,,
FMK,K525,Science Lab Upgrade,MURROW HS,1600 AVENUE L,331753,,3,11230,40.620525,-73.959285,14,44,768,3180673,3067340109,Midwood                                                                    
ENU,K450,Gymnasium Upgrade,PROGRESS HS,850 GRAND STREET,679379,,3,11211,40.712184,-73.939722,1,34,485,3325733,3030160001,Bushwick South                                                             
LQY,K987,Building System Improvement - Reconstruction of Temperature Control System,ACORN SCHOOL FOR SOCIAL JUSTIC,1396 BRODWAY,37501,,3,,,,,,,,,
FPV,K246,Science Lab Upgrade,I.S. 246,72 VERONICA PLACE,572044,,3,11226,40.648608,-73.952821,17,40,794,3117381,3051100025,Erasmus                                                                    
7C5,X079,Building System Improvement - Reconstruction of Electrical Systems,P.S. 79,125 EAST 181 STREET,0,,2,10453,40.854872,-73.903458,5,14,23704,2013849,2031700001,Fordham South                                                              
8GT,K133,"NEW PS HAVING AN APPROXIMATE SQUARE FOOT OF 117,484 AND AN UNADJUSTED CAPACITY OF 1034",P.S. 133,375 BUTLER STREET,31269839,,3,11217,40.679802,-73.980899,6,39,12901,3000000,3009400111,Park Slope-Gowanus                                                         
6DR,K008,Building Additions,P.S. 8,37 HICKS STREET,19609948,,3,11201,40.70071,-73.993241,2,33,1,3001540,3002110001,Brooklyn Heights-Cobble Hill                                               
8GN,Q585,"NEW HS HAVING AN APPROXIMATE SQUARE FOOT OF 149,938 AND AN UNADJUSTED CAPACITY OF 1299",HS 585,54-40 74th Street,72091976,,4,11373,40.729939,-73.887482,5,30,49302,4062864,4028030001,Maspeth                                                                    
8VA,X032,CAFETARIA/MULTI PURPOSE,P.S. 32,690 EAST 183 STREET,1371685,,2,10458,40.852103,-73.885935,6,15,391,2012409,2030850001,Belmont                                                                    
